rondeur,246
attaque,177
aigu,139
chaud,111
son,110
grave,108
harmonique,85
dir,78
vois,70
coup,67
jou,62
resonance,62
timbre,60
faire,58
terme,56
note,55
corde,52
medium,49
prend,48
falloir,48
veux,48
agressif,47
cherch,46
mal,45
essai,43
rugueux,42
impression,42
aller,41
fort,40
joue,38
voir,38
reson,36
don,36
ecout,36
vrai,36
mettr,36
rapport,35
imagin,34
question,33
dynamique,32
ronde,31
doux,30
chose,30
brillant,29
jouer,29
ecoute,28
rond,28
interessant,27
frequence,27
bruit,27
